back_legroom,body_type,city,front_legroom,has_accidents,height,horsepower,is_new,latitude,length,longitude,make_name,maximum_seating,mileage,model_name,owner_count,price,width,year
37.9,SUV / Crossover,Jackson,43,NA,66.3,170,1,32.2748,184.5,-90.2059,Nissan,5,8,Rogue,NA,26340,72.4,2020
33.5,Pickup Truck,Wheaton,43.9,NA,81.3,385,1,39.0406,238.2,-77.0575,Ford,6,NA,F-350 Super Duty,NA,41751,105.9,2020
38.3,SUV / Crossover,McKinney,41.8,FALSE,66.3,179,0,33.2046,181.9,-96.6381,Toyota,7,147214,RAV4,2,7998,71.5,2010
38.3,Sedan,Highland,44.3,NA,58.1,175,1,41.5344,191.7,-87.4711,Ford,5,10,Fusion,NA,25774,83.5,2020
35.7,SUV / Crossover,Reno,40.8,NA,65.2,138,1,39.5183,167.6,-119.787,Chevrolet,5,0,Trax,NA,27660,69.9,2020
40.1,Sedan,Springfield,41.8,NA,57.8,485,1,37.1824,200.8,-93.3049,Dodge,5,2,Charger,NA,46930,82.7,2020
40.4,SUV / Crossover,Mechanicsburg,41.3,FALSE,66.5,190,0,40.2407,180.6,-77.0492,Honda,5,38416,CR-V,1,26497,73,2018
NA,SUV / Crossover,Orlando,NA,FALSE,67.7,385,0,28.5538,192.6,-81.4066,Mercedes-Benz,5,46772,GLE-Class,1,49000,84.3,2017
37.2,SUV / Crossover,Newport Beach,40.3,NA,65,380,1,33.6242,186.3,-117.88,Jaguar,5,10,F-PACE,NA,65390,85.6,2020
33.7,Coupe,West Palm Beach,42.2,FALSE,54.2,320,0,26.7067,182.7,-80.0979,BMW,4,24537,4 Series,1,37564,79.4,2018
37.4,Sedan,Kingman,42.3,FALSE,55.7,158,0,35.2449,182.3,-114.038,Honda,5,38601,Civic,3,16995,70.8,2018
41.5,SUV / Crossover,Framingham,43.9,NA,76.4,375,1,42.2976,210,-71.4468,Ford,8,10,Expedition,NA,70130,93.4,2020
38.6,SUV / Crossover,Colorado Springs,40.3,NA,69.3,NA,1,38.8157,189.8,-104.837,Jeep,5,5,Grand Cherokee,NA,37523,84.8,2020
37.4,Sedan,Ardmore,44,NA,56.9,149,1,34.1891,182.7,-97.1605,Nissan,5,8,Sentra,NA,21420,71.5,2020
41.7,SUV / Crossover,Raleigh,42.3,FALSE,70.2,284,0,35.8977,198.5,-78.5503,Nissan,7,44056,Pathfinder,1,20998,77.2,2017
38.1,Wagon,Hanover,42.9,FALSE,66.1,256,0,42.1226,189.9,-70.8252,Subaru,5,35828,Outback,1,22998,81.3,2018
NA,Pickup Truck,Merrillville,44.5,NA,75.6,355,1,41.5073,229.5,-87.3232,Chevrolet,3,5,Silverado 1500,NA,31998,81.1,2020
40.2,Pickup Truck,Roswell,40.9,NA,78.4,370,1,33.3562,260.8,-104.511,RAM,6,37,3500,NA,76610,83.5,2019
38.1,Sedan,Batavia,41.5,NA,57.9,160,1,39.0938,194.2,-84.2597,Chevrolet,5,10,Malibu,NA,27230,73,2020
37.9,SUV / Crossover,Swanzey,43,NA,66.6,170,1,42.8764,184.5,-72.2321,Nissan,5,11,Rogue,NA,26000,72.4,2020
40.6,SUV / Crossover,Monroe,42.6,FALSE,68.3,250,0,32.4929,188.8,-92.0412,Ford,5,15738,Edge,1,25596,85.8,2019
40.6,SUV / Crossover,Dundee,42.6,FALSE,68.6,245,0,41.9596,188.1,-83.6704,Ford,5,51425,Edge,2,19366,85.8,2015
38,Sedan,Grapevine,42.1,NA,56.9,203,1,32.9553,192.7,-97.1398,Toyota,5,3,Camry,NA,25114,72.4,2020
39.5,SUV / Crossover,Tullahoma,41.2,TRUE,66,310,0,35.3883,189.5,-86.2344,Cadillac,5,31976,XT5,1,34399,75,2017
36.1,SUV / Crossover,Stuart,40.8,NA,66.6,172,1,27.1713,192.4,-80.2297,Dodge,7,13,Journey,NA,18049,83.7,2020
38.3,SUV / Crossover,Cedar Rapids,41.2,NA,73.6,260,1,42.0253,188.4,-91.6673,Jeep,5,1,Wrangler Unlimited,NA,42515,73.8,2021
36.1,Sedan,Sumter,45,FALSE,57.8,179,0,33.9616,191.9,-80.4004,Nissan,5,38433,Altima,1,17481,72,2018
36.3,SUV / Crossover,Mesa,41.7,NA,61.7,186,1,33.3847,173,-111.694,Mazda,5,3,CX-30,NA,25674,70.7,2020
34.5,Sedan,San Antonio,42.6,NA,57,206,1,29.5528,190.7,-98.586,Acura,5,10,TLX,NA,38125,73,2020
32.2,Sedan,Duluth,44.8,FALSE,56.3,241,0,33.9641,184.3,-84.1234,Lexus,5,26168,IS,1,29995,79.8,2018
38.6,SUV / Crossover,Saint Charles,40.3,FALSE,69.4,241,0,43.8252,189.8,-91.7629,Jeep,5,90831,Grand Cherokee,2,18250,84.8,2014
38.5,Pickup Truck,Murray,41.8,FALSE,76,390,0,40.6737,228.1,-111.888,Nissan,6,43059,Titan,1,28963,79.5,2018
38.1,Sedan,Hammond,41.5,NA,57.9,160,1,30.4951,194.2,-90.4827,Chevrolet,5,10,Malibu,NA,23495,73,2020
37.9,SUV / Crossover,Oakhurst,43,TRUE,68.4,170,0,40.2714,184.5,-74.0425,Nissan,7,44656,Rogue,1,15905,72.4,2017
33.9,SUV / Crossover,Fort Wayne,41.9,NA,60,208,1,41.0479,173.9,-85.2351,Mercedes-Benz,5,3,GLA-Class,NA,44365,79.6,2020
38.4,SUV / Crossover,Auburn,40.9,NA,70.6,280,1,32.6185,196.5,-85.4614,Honda,8,12,Pilot,NA,39480,78.6,2021
NA,Van,Irving,41.5,NA,72,169,1,32.8374,190,-96.9558,Ford,2,8,Transit Connect,NA,23370,84.1,2020
39.1,Sedan,Miami,42.4,FALSE,58.5,170,0,25.6204,191.9,-80.3448,Volkswagen,5,23408,Passat,1,13500,72.2,2017
43.6,Pickup Truck,Lake City,43.9,NA,77.2,375,1,30.179,231.9,-82.6701,Ford,6,NA,F-150,NA,57049,96.8,2020
